Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Tag
1,Arian Foster*,HOU,26,RB,16,16,351,1424,15,78,46,4.1,89,3,FostAr00
2,Adrian Peterson*+,MIN,27,RB,16,16,348,2097,12,88,82,6,131.1,4,PeteAd01
3,Alfred Morris,WAS,24,RB,16,16,335,1613,13,86,39,4.8,100.8,4,MorrAl00
4,Doug Martin*,TAM,23,RB,16,16,319,1454,11,64,70,4.6,90.9,1,MartDo00
5,Marshawn Lynch*+,SEA,26,RB,16,15,315,1590,11,70,77,5,99.4,5,LyncMa00
6,Stevan Ridley,NWE,23,RB,16,12,290,1263,12,83,41,4.4,78.9,4,RidlSt00
7,Jamaal Charles*,KAN,26,RB,16,15,285,1509,5,63,91,5.3,94.3,5,CharJa00
8,BenJarvus Green-Ellis,CIN,27,RB,15,15,278,1094,6,55,48,3.9,72.9,3,GreeBe00
9,Shonn Greene,NYJ,27,RB,16,14,276,1063,8,52,36,3.9,66.4,4,GreeSh00
10,Chris Johnson,TEN,27,RB,16,15,276,1243,6,46,94,4.5,77.7,5,JohnCh04
11,Trent Richardson,CLE,22,RB,15,15,267,950,11,38,32,3.6,63.3,3,RichTr00
12,Frank Gore*,SFO,29,RB,16,16,258,1214,8,68,37,4.7,75.9,2,GoreFr00
13,Steven Jackson,STL,29,RB,16,16,258,1045,4,49,46,4.1,65.3,0,JackSt00
14,Ray Rice*,BAL,25,RB,16,16,257,1143,9,52,46,4.4,71.4,1,RiceRa00
15,Matt Forte,CHI,27,RB,15,15,248,1094,5,45,46,4.4,72.9,2,FortMa00
16,Reggie Bush,MIA,27,RB,16,16,227,986,6,43,65,4.3,61.6,4,BushRe00
17,Michael Turner,ATL,30,RB,16,16,222,800,10,40,43,3.6,50,3,TurnMi00
18,Ahmad Bradshaw,NYG,26,RB,14,12,221,1015,6,58,37,4.6,72.5,3,BradAh00
19,Darren McFadden,OAK,25,RB,12,12,216,707,2,35,64,3.3,58.9,2,McFaDa00
20,Mikel Leshoure,DET,22,RB,14,14,215,798,9,47,16,3.7,57,3,LeshMi00
