Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Tag
1,Michael Thomas*+,NOR,25,WR,16,16,147,125,85.00%,1405,11.2,9,82,72,9.6,7.8,87.8,2,ThomMi05
2,Zach Ertz*,PHI,28,TE,16,16,156,116,74.40%,1163,10,8,72,34,7.5,7.3,72.7,1,ErtzZa00
3,DeAndre Hopkins*+,HOU,26,WR,16,16,163,115,70.60%,1572,13.7,11,85,49,9.6,7.2,98.3,2,HopkDe00
4,Julio Jones*,ATL,29,WR,16,16,170,113,66.50%,1677,14.8,8,80,58,9.9,7.1,104.8,2,JoneJu02
5,Adam Thielen*,MIN,28,WR,16,16,153,113,73.90%,1373,12.2,9,74,68,9,7.1,85.8,1,ThieAd00
6,Davante Adams*,GNB,26,WR,15,15,169,111,65.70%,1386,12.5,13,64,57,8.2,7.4,92.4,0,AdamDa01
7,JuJu Smith-Schuster*,PIT,22,WR,16,13,166,111,66.90%,1426,12.8,7,67,97,8.6,6.9,89.1,1,SmitJu00
8,Christian McCaffrey,CAR,22,RB,16,16,124,107,86.30%,867,8.1,6,41,38,7,6.7,54.2,4,McCaCh01
9,Antonio Brown*,PIT,30,WR,15,15,168,104,61.90%,1297,12.5,15,63,78,7.7,6.9,86.5,0,BrowAn04
10,Travis Kelce*+,KAN,29,TE,16,16,150,103,68.70%,1336,13,10,75,43,8.9,6.4,83.5,2,KelcTr00
11,Stefon Diggs,MIN,25,WR,15,14,149,102,68.50%,1021,10,9,49,75,6.9,6.8,68.1,0,DiggSt00
12,Keenan Allen*,LAC,26,WR,16,14,136,97,71.30%,1196,12.3,6,66,54,8.8,6.1,74.8,3,AlleKe00
13,Saquon Barkley*,NYG,21,RB,16,16,121,91,75.20%,721,7.9,4,30,57,6,5.7,45.1,0,BarkSa00
14,George Kittle*,SFO,25,TE,16,16,136,88,64.70%,1377,15.6,5,60,85,10.1,5.5,86.1,0,KittGe00
15,Tyreek Hill*+,KAN,24,WR,16,16,137,87,63.50%,1479,17,12,66,75,10.8,5.4,92.4,0,HillTy00
16,James White,NWE,26,RB,16,3,123,87,70.70%,751,8.6,7,46,42,6.1,5.4,46.9,0,WhitJa02
17,Mike Evans*,TAM,25,WR,16,16,138,86,62.30%,1524,17.7,8,68,72,11,5.4,95.3,2,EvanMi00
18,Robert Woods,LAR,26,WR,16,16,130,86,66.20%,1219,14.2,6,74,39,9.4,5.4,76.2,0,WoodRo02
19,Alvin Kamara*,NOR,23,RB,15,13,105,81,77.10%,709,8.8,4,37,42,6.8,5.4,47.3,1,KamaAl00
