Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Tag
1,Michael Thomas*+,NOR,26,WR,16,15,185,149,80.50%,1725,11.6,9,91,49,9.3,9.3,107.8,1,ThomMi05
2,Christian McCaffrey*+,CAR,23,RB,16,16,142,116,81.70%,1005,8.7,4,58,28,7.1,7.3,62.8,1,McCaCh01
3,Keenan Allen*,LAC,27,WR,16,16,149,104,69.80%,1199,11.5,6,63,45,8,6.5,74.9,0,AlleKe00
4,DeAndre Hopkins*+,HOU,27,WR,15,15,150,104,69.30%,1165,11.2,7,68,43,7.8,6.9,77.7,0,HopkDe00
5,Julian Edelman,NWE,33,WR,16,13,153,100,65.40%,1117,11.2,6,54,44,7.3,6.3,69.8,3,EdelJu00
6,Julio Jones*,ATL,30,WR,15,15,157,99,63.10%,1394,14.1,6,77,54,8.9,6.6,92.9,1,JoneJu02
7,Allen Robinson,CHI,26,WR,16,15,154,98,63.60%,1147,11.7,7,63,49,7.4,6.1,71.7,0,RobiAl02
8,Travis Kelce*,KAN,30,TE,16,16,136,97,71.30%,1229,12.7,5,65,47,9,6.1,76.8,1,KelcTr00
9,Cooper Kupp,LAR,26,WR,16,14,134,94,70.10%,1161,12.4,10,51,66,8.7,5.9,72.6,3,KuppCo00
10,Austin Ekeler,LAC,24,RB,16,8,108,92,85.20%,993,10.8,8,42,84,9.2,5.8,62.1,3,EkelAu00
11,Tyler Boyd,CIN,25,WR,16,15,148,90,60.80%,1046,11.6,5,51,47,7.1,5.6,65.4,2,BoydTy00
12,Darren Waller,OAK,27,TE,16,16,117,90,76.90%,1145,12.7,3,53,75,9.8,5.6,71.6,1,WallDa01
13,Robert Woods,LAR,27,WR,15,15,139,90,64.70%,1134,12.6,2,54,48,8.2,6,75.6,0,WoodRo02
14,Zach Ertz*,PHI,29,TE,15,15,135,88,65.20%,916,10.4,6,50,30,6.8,5.9,61.1,1,ErtzZa00
15,D.J. Moore,CAR,22,WR,15,15,135,87,64.40%,1175,13.5,4,63,52,8.7,5.8,78.3,2,MoorD.00
16,Chris Godwin*,TAM,23,WR,14,14,121,86,71.10%,1333,15.5,9,63,71,11,6.1,95.2,0,GodwCh00
17,George Kittle*+,SFO,26,TE,14,14,107,85,79.40%,1053,12.4,5,53,61,9.8,6.1,75.2,1,KittGe00
18,Davante Adams*,GNB,27,WR,12,12,127,83,65.40%,997,12,5,54,58,7.9,6.9,83.1,2,AdamDa01
19,Jarvis Landry*,CLE,27,WR,16,16,138,83,60.10%,1174,14.1,6,55,65,8.5,5.2,73.4,0,LandJa00
20,Tyler Lockett,SEA,27,WR,16,16,110,82,74.50%,1057,12.9,8,53,44,9.6,5.1,66.1,1,LockTy00
21,Alvin Kamara*,NOR,24,RB,14,9,97,81,83.50%,533,6.6,1,28,41,5.5,5.8,38.1,4,KamaAl00
22,Tarik Cohen,CHI,24,RB,16,11,104,79,76.00%,456,5.8,3,18,31,4.4,4.9,28.5,3,CoheTa00
23,Amari Cooper*,DAL,25,WR,16,16,119,79,66.40%,1189,15.1,8,54,53,10,4.9,74.3,0,CoopAm00
24,Jamison Crowder,NYJ,26,WR,16,12,122,78,63.90%,833,10.7,6,41,41,6.8,4.9,52.1,0,CrowJa00
25,Leonard Fournette,JAX,24,RB,15,15,100,76,76.00%,522,6.9,0,23,27,5.2,5.1,34.8,1,FourLe00
26,Larry Fitzgerald,ARI,36,WR,16,16,109,75,68.80%,804,10.7,4,40,54,7.4,4.7,50.3,1,FitzLa00
27,Austin Hooper*,ATL,25,TE,13,10,97,75,77.30%,787,10.5,6,41,35,8.1,5.8,60.5,0,HoopAu00
28,Odell Beckham Jr.,CLE,27,WR,16,15,133,74,55.60%,1035,14,4,44,89,7.8,4.6,64.7,1,BeckOd00
29,DJ Chark*,JAX,23,WR,15,14,118,73,61.90%,1008,13.8,8,42,69,8.5,4.9,67.2,0,CharDJ00
30,John Brown,BUF,29,WR,15,15,115,72,62.60%,1060,14.7,6,53,53,9.2,4.8,70.7,0,BrowJo02
31,DeVante Parker,MIA,26,WR,16,14,128,72,56.30%,1202,16.7,9,58,51,9.4,4.5,75.1,0,ParkDe01
32,Courtland Sutton*,DEN,24,WR,16,14,124,72,58.10%,1112,15.4,6,50,70,9,4.5,69.5,2,SuttCo00
33,James White,NWE,27,RB,15,1,95,72,75.80%,645,9,5,31,59,6.8,4.8,43,1,WhitJa02
34,Tyler Higbee,LAR,26,TE,15,15,89,69,77.50%,734,10.6,3,36,33,8.2,4.6,48.9,0,HigbTy00
35,Christian Kirk,ARI,23,WR,13,13,108,68,63.00%,709,10.4,3,31,69,6.6,5.2,54.5,0,KirkCh01
36,Cole Beasley,BUF,30,WR,15,10,106,67,63.20%,778,11.6,6,37,51,7.3,4.5,51.9,0,BeasCo00
37,Mike Evans*,TAM,26,WR,13,13,118,67,56.80%,1157,17.3,8,54,67,9.8,5.2,89,0,EvanMi00
